Salary,max(s2.salary),avg(s2.salary),min(s2.salary),stddev(s2.salary),DKFPS,std(t2.DKFPS),min(t2.DKFPS),max(t2.DKFPS),player_id,Team,ou,odds,Home,OPP,Target,game_id,Position,Name,DISPLAY_FIRST_LAST,AdaBoost,Neural Network,Random Forest
3800,4000,3900,3800,89.4427191,13.45,8.252878286,-0.5,24.25,1628373,NYK,217,15,0,HOU,,21700282,PG/SG,Frank Ntilikina,Frank Ntilikina,15.25,15.54071567,15.51854167
6800,6700,6520,6200,193.9071943,38.95,9.954144865,27.75,56,203501,NYK,217,15,0,HOU,,21700282,SG/SF,Tim Hardaway Jr.,Tim Hardaway Jr.,33.25,34.0046914,41.13541667
3700,3900,3760,3700,80,22.45,9.198369421,10.5,37,101127,NYK,217,15,0,HOU,,21700282,PG,Jarrett Jack,Jarrett Jack,18.5,20.97268005,19.42465278
3400,3400,3400,3400,0,5.55,2.456623699,2,8.25,202498,NYK,217,15,0,HOU,,21700282,SF/PF,Lance Thomas,Lance Thomas,13.75,13.83495996,15.8969246
3500,3700,3540,3500,80,14.6,6.278136666,6,25.25,203926,NYK,217,15,0,HOU,,21700282,SF/PF,Doug McDermott,Doug McDermott,15.75,18.91816104,15.87041667
3400,3500,3466.6667,3400,47.14045208,7.833333333,6.665624919,2.75,17.25,1626195,NYK,217,15,0,HOU,,21700282,,,Willy Hernangomez,17,12.23038426,14.53097222
3300,3400,3400,3400,0,9.375,3.375,6,12.75,201196,NYK,217,15,0,HOU,,21700282,PG,Ramon Sessions,Ramon Sessions,12.75,15.61035557,15.13979167
4800,4600,4380,4100,193.9071943,28.3,6.15913955,19,37,201584,NYK,217,15,0,HOU,,21700282,SG/SF,Courtney Lee,Courtney Lee,20.75,23.04286645,23.98970238
6000,6600,6475,6300,108.9724736,31.75,12.02861172,19,47,202683,NYK,217,15,0,HOU,,21700282,PF/C,Enes Kanter,Enes Kanter,26.5,30.98780086,25.8175
3300,3400,3400,3400,0,11.125,6.875,4.25,18,201563,NYK,217,15,0,HOU,,21700282,SF/PF,Michael Beasley,Michael Beasley,15.75,16.46635187,14.2510119
3500,3900,3660,3500,135.6465997,12.6,3.59722115,8,18.5,203124,NYK,217,15,0,HOU,,21700282,PF/C,Kyle O'Quinn,Kyle O'Quinn,14.5,18.20089641,17.42625
8600,9600,9020,8700,305.9411708,36.8,6.102048836,25.5,43.25,204001,NYK,217,15,0,HOU,,21700282,PF/C,Kristaps Porzingis,Kristaps Porzingis,47.5,39.10184155,37.48583333
7800,7500,7300,7100,200,36,1,35,37,101108,HOU,217,-15,1,NYK,,21700282,PG/SG,Chris Paul,Chris Paul,43.25,41.14937081,39.48333333
5500,6600,6266.6667,6000,249.4438258,19,3.409545424,15.25,23.5,201569,HOU,217,-15,1,NYK,,21700282,SG,Eric Gordon,Eric Gordon,26.25,28.18173624,27.00958333
11500,12700,12033.3333,11100,679.8692685,61.08333333,5.903153583,53.25,67.5,201935,HOU,217,-15,1,NYK,,21700282,PG/SG,James Harden,James Harden,75.25,55.52678474,64.19809524
3500,3500,3333.3333,3000,235.7022604,15.5,8.7535707,3.75,24.75,204028,HOU,217,-15,1,NYK,,21700282,PF/C,Tarik Black,Tarik Black,7.5,14.84977455,12.70589286
3800,3800,3766.6667,3700,47.14045208,17.58333333,7.586537784,7.25,25.25,200782,HOU,217,-15,1,NYK,,21700282,SF/PF,P.J. Tucker,PJ Tucker,21.75,17.63128432,21.69550595
4700,4700,4533.3333,4400,124.7219129,24.83333333,6.18241233,19.5,33.5,201583,HOU,217,-15,1,NYK,,21700282,PF/C,Ryan Anderson,Ryan Anderson,20,23.91454731,24.51340278
5200,5200,5133.3333,5100,47.14045208,26.33333333,7.930251502,18,37,2772,HOU,217,-15,1,NYK,,21700282,SG/SF,Trevor Ariza,Trevor Ariza,29.25,26.6684237,27.53744048
6600,7200,7000,6700,216.0246899,34.66666667,3.280836614,31.75,39.25,203991,HOU,217,-15,1,NYK,,21700282,C,Clint Capela,Clint Capela,36.5,34.71214411,41.59746032
3000,3000,3000,3000,0,0,0,0,0,1627743,HOU,217,-15,1,NYK,,21700282,PG,Demetrius Jackson,Demetrius Jackson,2.5,8.120021406,2.238194444
3100,3100,3100,3100,0,3.166666667,3.091206165,0.5,7.5,201628,HOU,217,-15,1,NYK,,21700282,PG,Bobby Brown,Bobby Brown,5.25,8.866785492,2.033333333
3500,3500,3500,3500,0,11.45,5.163332257,4,18,201967,NOP,229,11,0,GSW,,21700284,SF/PF,Dante Cunningham,Dante Cunningham,16.5,13.25955851,12.94214286
